"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Negative",0.803,0.8027287,0.13774058,0.059530716,53029114,"humanite_fr",1604576233290866689,"L'avocat franco-palestinien #SalahHamouri expulsé dimanche par #Israël après plusieurs mois de détention, est arrivé en fin de matinée à l'aéroport Roissy-Charles-de-Gaulle, où il a affirmé vouloir continuer ""le combat"".
https://t.co/ocW2iyDblQ https://t.co/xOQYl8DC53","2022-12-18 21:36:00",60,25,1,32,2
"Positive",0.888,0.033995386,0.078311026,0.88769364,53029114,"humanite_fr",1604575484993486848,"#coupedumonde2022 #Qatar2022 s’achève. Après les polémiques et les matchs, les cris et les joies, viendra le bilan. Mais la Fédération internationale #FIFA est d’ores et déjà la grande gagnante de l’événement. #WorldCup2022
https://t.co/1xjdlHgD2M","2022-12-18 21:33:01",13,4,0,9,0
"Negative",0.869,0.8692115,0.09292555,0.037863005,53029114,"humanite_fr",1604566984133410829,"L'avocat franco-palestinien #SalahHamouri , expulsé dimanche par #Israel après plusieurs mois de détention, est arrivé en France, où il a affirmé vouloir continuer « le combat ». #Palestine 
👉 https://t.co/QTosvDpyDs https://t.co/xVeNoFbdnI","2022-12-18 20:59:15",211,52,12,145,2
"Neutral",0.774,0.014521632,0.77358234,0.21189599,53029114,"humanite_fr",1604559379080036354,"L' Humanité du lundi 19 décembre 2022 chez les marchands de journaux et dès ce soir 22h00 sur ordinateur. https://t.co/s4nZf9skga tablettes et smartphones avec nos applis IOS https://t.co/Nwm028Ng9C et Android https://t.co/AzRCWAjIRD #Bleus #FIFAWorldCup https://t.co/JZZR993UVc","2022-12-18 20:29:01",50,14,4,28,4
"Positive",0.845,0.0820062,0.073096834,0.844897,53029114,"humanite_fr",1604552076012294144,"Hors série. 40 ans après la disparition du poète Aragon, sa vie et son œuvre continuent de fasciner toutes les générations. Ce nouveau numéro explore les différentes facettes de l’immense écrivain. https://t.co/3NN26Cp3h9","2022-12-18 20:00:00",24,6,0,18,0
"Negative",0.874,0.87401116,0.06830598,0.057682868,53029114,"humanite_fr",1604536993362362371,"Mondial. Les Bleus échouent à rallumer leur étoile. Les deux équipes finalistes de cette Coupe du monde ont dû être départagés par des tirs aux buts.  Les deux arrêts du gardien argentin permettent à l'Argentine de devenir champions du monde. https://t.co/c6uc6Wdmtl https://t.co/YxPGGVQHk6","2022-12-18 19:00:04",14,5,2,7,0
"Positive",0.653,0.14938203,0.19775559,0.65286237,53029114,"humanite_fr",1604521875819925506,"#Qatar2022. Et à la fin, c’est la Fifa qui gagne !
#Coupedumonde s’achève. Après les polémiques et les matchs, viendra le bilan. Mais #FIFA est d’ores et déjà la grande gagnante  avec un CA 7,3 milliards €... pour une association à but non lucratif. 
https://t.co/1xjdlHgD2M https://t.co/SmYzTKhDPA","2022-12-18 18:00:00",44,17,4,21,2
"Neutral",0.483,0.21185364,0.48260272,0.30554366,53029114,"humanite_fr",1604446388808552449,"Le dessin de la semaine de Besse    
#DessinDePresse #Dessindujour #retraites  #retraite #emploi #Macron https://t.co/fLD3Fn3ZL7","2022-12-18 13:00:02",90,31,0,57,2
"Negative",0.462,0.46244162,0.28762513,0.2499333,53029114,"humanite_fr",1604436115250970624,"""J'ai changé d'endroit mais le combat continue"" : les mots de #SalahHamouri à son arrivée ce matin à Roissy, expulsé par les autorités israéliennes.  https://t.co/Ut8yiIPVTc https://t.co/FY54ziPlFs","2022-12-18 12:19:13",138,43,11,84,0
"Negative",0.613,0.613021,0.13281314,0.2541659,53029114,"humanite_fr",1604431286516342785,"Avoir froid chez soi est un véritable problème sanitaire. Or les réponses du gouvernement laissent une fois de plus les ménages les plus modestes sur le carreau. Les preuves irréfutables apportées par @OsonsCauser 
Retrouvez toutes les sources ici : https://t.co/nQbTvywu2m https://t.co/rPBR2HIxsc","2022-12-18 12:00:02",33,12,0,19,2
"Positive",0.533,0.30722168,0.15948203,0.5332963,53029114,"humanite_fr",1604129293000392704,"#Tunisie Les Tunisiens sont appelés à élire un Parlement vidé de sa substance ce samedi, 9 mois après la dissolution du précédent. La Constitution, réformée en juillet, amoindrit fortement les prérogatives des parlementaires. 
https://t.co/oSlgOkrHmm","2022-12-17 16:00:01",18,7,2,9,0
"Positive",0.68,0.06705258,0.25249124,0.68045616,53029114,"humanite_fr",1604114193249992705,"#Maroc vise au-delà de la petite finale
Face à la #croatie samedi, le royaume pourrait devenir la première équipe d’Afrique à terminer sur le podium #CoupeDuMondeFIFA  récompensant ainsi sa stratégie de formation. #Qatar2022
https://t.co/kU7gEkG9IH https://t.co/I8sigyNlsF","2022-12-17 15:00:01",16,3,0,13,0
"Negative",0.573,0.5730877,0.24219121,0.18472111,53029114,"humanite_fr",1604083990910083073,"Le dessin de la semaine de Babouse       
#DessinDePresse #Dessindujour #ecole  #climat  #énergie https://t.co/jifebaz2gd","2022-12-17 13:00:00",44,13,0,31,0
"Negative",0.905,0.90476847,0.0569838,0.038247716,53029114,"humanite_fr",1603877538849501184,"#VaulxenVelin
Dans la nuit du 15 au 16, un incendie a ravagé un immeuble du Mas de Taureau, faisant 10 victimes et 19 blessés dont 4 dans un état grave. Vendredi, l’émotion était très vive parmi les habitants, qui s’interrogent sur l’origine de ce drame.
https://t.co/mqQi5R8PNj","2022-12-16 23:19:38",31,18,0,13,0
"Negative",0.942,0.9419524,0.032967035,0.025080519,53029114,"humanite_fr",1603877168190210048,"#Extremedroite #Lyon, «nous faisons face à de vrais fous furieux»
À l’issue du #francemaroc mercredi, des groupuscules d’extrême droite sont sortis pour gâcher la fête. Dans la métropole, une trentaine d’individus s’en sont pris à des supporters #maroc
https://t.co/a1zcgZ3zXx","2022-12-16 23:18:10",78,31,5,41,1
"Negative",0.458,0.45813772,0.26670393,0.2751583,53029114,"humanite_fr",1603812208982364160,"#AfriqueduSud La conférence du Congrès national africain #ANC le parti de Mandela, s’est ouverte vendredi dans un climat tendu. Le président, Cyril Ramaphosa, est affaibli par des affaires. La population, elle, se serre la ceinture. https://t.co/jyFabPGFPy","2022-12-16 19:00:02",13,8,0,5,0
"Negative",0.713,0.7132237,0.13258807,0.15418822,53029114,"humanite_fr",1603797107789291521,"Alors que le gouvernement mène une OPA pour récupérer 100 % des actions #EDF, le député PS Philippe Brun a présenté son antidote légal visant à rendre impossible toute vente à la découpe après l’étatisation du champion français de l’électricité. https://t.co/lrhEGT083Q","2022-12-16 18:00:02",36,14,0,21,1
"Neutral",0.5,0.137296,0.49952236,0.36318162,53029114,"humanite_fr",1603781999923183616,"#UE #Impots #fiscalité Les 27 pays membres ont transposé jeudi, en droit européen, le prélèvement minimum de 15 % sur les bénéfices des multinationales. https://t.co/ziiOUE5EIS","2022-12-16 17:00:00",8,5,0,3,0
"Negative",0.804,0.8038104,0.1600152,0.036174398,53029114,"humanite_fr",1603766911115722752,"#qatargate L’organisation syndicale mondiale a informé jeudi que son secrétaire général #LucaVisentini n’occupait plus ses fonctions. Une réunion de crise est prévue le 21 décembre. https://t.co/LUsBok8GEO","2022-12-16 16:00:02",18,8,0,10,0
"Negative",0.951,0.95066404,0.03230199,0.017033959,53029114,"humanite_fr",1603759351264555008,"#violencespolicieres L’agent de police, accusé d’avoir injurié et humilié trois jeunes qui n’avaient pas respecté le couvre-feu en 2021, a été condamné à une peine plus lourde que ce que demandait le procureur, le 15 décembre au tribunal de Bobigny.
https://t.co/uT0TLHIiAV","2022-12-16 15:30:00",43,13,2,27,1
"Positive",0.788,0.10872771,0.102893986,0.78837836,53029114,"humanite_fr",1603751803278991360,"#Qatar2022 #Messi qui, à 35 ans, est au crépuscule de sa carrière, se voit offrir la chance de rallier à son panache toute le peuple #argentine. Une victoire dimanche, ferait de lui l’égal de son grand aîné Maradona. Mais que le chemin a été long… https://t.co/3CMfadbIVi","2022-12-16 15:00:00",13,4,0,9,0
"Positive",0.384,0.32369542,0.29256567,0.3837389,53029114,"humanite_fr",1603744251719741440,"#Japon Le gouvernement japonais a annoncé une nouvelle doctrine qui prévoit une augmentation du budget #militaire et une modernisation de l’arsenal, potentiellement en contradiction avec la Constitution du pays. 
https://t.co/6qMERAaS4d","2022-12-16 14:30:00",15,7,0,6,2
"Negative",0.946,0.9456265,0.03408571,0.020287795,53029114,"humanite_fr",1603740326287622144,"4 ans après avoir été éborgné par une grenade lancée par un #CRS non habilité, le syndicaliste Laurent Théron attendait d’être entendu aux Assises. Les violences ont été reconnues mais le jury populaire a acquitté le brigadier-chef. 
#ViolencesPolicieres https://t.co/NDpcnvlycy https://t.co/K8lkBAOob8","2022-12-16 14:14:24",44,17,3,23,1
"Negative",0.434,0.43374377,0.29066223,0.27559394,53029114,"humanite_fr",1603721606521655296,"L'œil de Soph' Lestoujoursouvrables    
#DessinDePresse #Macron  #retraites #qatar2022 #equipedefrance #coupedumonde
https://t.co/PNHpluSLfi https://t.co/fmtaSBxnbC","2022-12-16 13:00:01",26,13,0,13,0
"Positive",0.854,0.044670444,0.10182662,0.853503,53029114,"humanite_fr",1603706510000930816,"#Deschamps L’ancien capitaine des Bleus, devenu sélectionneur, affiche un bilan mitigé en termes de jeu, mais il a permis à son équipe de décrocher un nouveau titre mondial en 2018. Et peut-être un 3ème. Avec lui, c’est souvent la France qui gagne à la fin https://t.co/RWMWqa2iSe","2022-12-16 12:00:02",10,4,0,6,0
"Negative",0.822,0.82230735,0.1349243,0.04276835,53029114,"humanite_fr",1603691412142399492,"#bigpharma Aucune offre de reprise sérieuse n’a été déposée pour Carelide, seul fabricant français de poches de transfusion #paracétamol, en redressement judiciaire. 430 salariés en CDI et 130 intérimaires sont en attente d'une offre de reprise sérieuse. 
https://t.co/XFWEiH2wnS","2022-12-16 11:00:02",52,27,1,24,0
"Negative",0.777,0.77663875,0.09066761,0.13269366,53029114,"humanite_fr",1603676311519514625,"#coupedumonde #francemaroc Le camp xénophobe avait agité des « craintes de débordements » des supporters marocains. Mais la soirée a été belle. Des militants de l’ultradroite ont même été arrêtés.
#qatar2022 #football 
https://t.co/gvqAzlMA55","2022-12-16 10:00:02",30,10,1,19,0
"Negative",0.666,0.66581416,0.19753335,0.1366525,53029114,"humanite_fr",1603661206853754883,"Regard de cartographe #18.  Nicolas Lambert a choisi de mettre en carte les données sur les conflits armés de l'université d'Upsala. Il a décidé de se focaliser sur le continent africain. Un continent meurtri par la business de l'armement. @neocartocnrs
https://t.co/vb1vk4ETFy","2022-12-16 09:00:00",40,16,2,22,0
"Positive",0.416,0.38218057,0.20200312,0.41581634,53029114,"humanite_fr",1603646107342344192,"🇫🇷  🇦🇷  #EquipeDeFrance affronte #Argentine, dimanche, en finale. #Deschamps et ses joueurs ont dû faire preuve de résilience pour surmonter nombre d’obstacles et des vents contraires. #Bleus #qatar2022 #coupedumonde #finale https://t.co/cTa0jUYg83","2022-12-16 08:00:00",14,4,2,8,0
"Neutral",0.79,0.01551876,0.7895024,0.19497882,53029114,"humanite_fr",1603466879720366085,"L' Humanité du vendredi 16 décembre 2022 chez les marchands de journaux et dès ce soir 22h00 sur ordinateur. https://t.co/s4nZf9skga tablettes et smartphones avec nos applis IOS https://t.co/Nwm028Ng9C et Android https://t.co/AzRCWAjIRD #EquipeDeFrance  #Qatar2022 https://t.co/2d0tE8AqGZ","2022-12-15 20:07:49",21,7,2,11,1
"Positive",0.425,0.23809366,0.3373686,0.42453775,53029114,"humanite_fr",1603453566479482885,"#Retraites Les groupes PS, PCF, FI et EELV de l’Assemblée et du Sénat ont affirmé mardi, lors d’une conférence de presse, leur unité contre tout allongement du temps de travail. Ils auditionnent aussi syndicats et experts pour proposer des alternatives. https://t.co/1CdvWQSxTF","2022-12-15 19:14:55",53,20,0,32,1
"Negative",0.95,0.9499893,0.032308467,0.017702201,53029114,"humanite_fr",1603449819103576064,"#DulcieSeptember Mercredi, le tribunal de Paris a débouté de ses demandes la famille de la militante sud-africaine assassinée en 1988 à Paris. Celle-ci avait porté plainte contre l’État pour « faute lourde » et « déni de justice ». #ANC 
https://t.co/U81IgPyfxY","2022-12-15 19:00:02",18,11,0,7,0
"Negative",0.825,0.82471085,0.10340666,0.07188245,53029114,"humanite_fr",1603434712306950148,"France-Maroc : et à la fin, c'est l'extrême droite qui râle!
Dans la 11ème #chronique ""la Tête dans le flux"", @Caddeo_Cyprien a vu #francemaroc et la récupération qu'en a faite #extremedroite avec la complaisance de #médias
#qatar2022 #racisme #Zemmour #RN https://t.co/k04oCnvQcS https://t.co/9ADdDQkY8M","2022-12-15 18:00:00",19,7,1,11,0
"Negative",0.932,0.9317849,0.032764126,0.03545097,53029114,"humanite_fr",1603419612598648834,"#RoyaumeUni Depuis le début des mobilisations sociales, le Parti travailliste n’a jamais appuyé clairement leurs revendications. Une position qui agace les représentants des salariés. #LabourParty 
https://t.co/8unK6yHvYh","2022-12-15 17:00:00",15,7,0,8,0
"Negative",0.543,0.5430091,0.18303172,0.2739592,53029114,"humanite_fr",1603404524378411008,"#Chine Les mobilisations contre la stratégie zéro #COVID19 ont mis en lumière le mal-être des jeunes chinois. Depuis 2 ans, le mouvement #TangPing (Restons couchés) essaime dans le pays et remet en cause le modèle de développement. https://t.co/pJGwAD1fz9","2022-12-15 16:00:03",20,9,0,11,0
"Negative",0.888,0.8877747,0.0743428,0.0378825,53029114,"humanite_fr",1603396964003074048,"#Sncf A l’initiative du député #PCF du Cher @NicolasSansu les différents acteurs de ce train intercités passant par Orléans et Limoges tenaient un colloque, mercredi, alors que les difficultés d’exploitation se multiplient. https://t.co/4RdJd75js0","2022-12-15 15:30:00",21,11,0,9,1
"Negative",0.924,0.92404276,0.04271911,0.033238105,53029114,"humanite_fr",1603389426381488132,"#RoyaumeUnis Accablés par la baisse de leur niveau de vie et par leurs conditions de travail,  #soignants ont choisi de débrayer, une 1ère depuis 100 ans. La colère dépasse le secteur #santé et favorise l’émergence d’un vaste mouvement de contestation. https://t.co/JKAp5WvAkg","2022-12-15 15:00:03",10,6,0,4,0
"Negative",0.939,0.9388629,0.0362666,0.024870463,53029114,"humanite_fr",1603381864554790912,"Erreur judiciaire La Cour de révision a pris jeudi la décision rarissime d’annuler la condamnation pour viol sur mineure prononcée en 2003 contre #FaridElHairy  qui a passé près d’un an en détention pour un crime qu’il n’a pas commis.
https://t.co/W4mmWBs443","2022-12-15 14:30:00",35,16,3,16,0
"Negative",0.416,0.41579303,0.20521231,0.3789946,53029114,"humanite_fr",1603374320943738881,"#Perou Malgré l’état d’urgence décrété lundi dans le sud du pays par le nouveau gouvernement, les manifestants pro-Castillo intensifient leur mobilisation anti-destitution. #PedroCastillo 
https://t.co/wRmz0ngiwj https://t.co/j0ss4GUoYJ","2022-12-15 14:00:02",10,7,0,3,0
"Positive",0.657,0.20905167,0.13443953,0.6565088,53029114,"humanite_fr",1603366765844525056,"#cesar2022 La cinéaste antillaise a reçu un oscar d’honneur pour l’ensemble de sa carrière. Première réalisatrice à décrocher un césar avec Rue Cases-Nègres en 1984, elle reste méconnue en France. #EuzhanPalcy https://t.co/UY0y3lKTZg","2022-12-15 13:30:00",44,20,2,22,0
"Negative",0.946,0.9461247,0.034042746,0.019832605,53029114,"humanite_fr",1603365334039363584,"39 associations dénoncent « une année noire » pour les personnes mal logées ou #sansabri, avec la crise énergétique et des décisions gouvernementales qui aggravent la situation. @CollAssoUnies @Abbe_Pierre  https://t.co/yvJjjid5Xb","2022-12-15 13:24:19",77,35,2,40,0
"Neutral",0.521,0.28101933,0.52085024,0.19813047,53029114,"humanite_fr",1603359219276689409,"L'œil de Jul   
#DessinDePresse #iranianwomen  #Iran 
https://t.co/KhZl8NXQtd https://t.co/1EqPlolHU3","2022-12-15 13:00:01",22,8,1,13,0
"Negative",0.693,0.692796,0.14164875,0.16555521,53029114,"humanite_fr",1603344116774932480,"#Chili  Le 4 septembre, 62% des Chiliens avaient refusé la proposition qui leur était faite de remplacer la Loi fondamentale votée sous Pinochet. La machine a été relancé, mais le consensus trouvé avec la droite suscite de vives réactions à gauche. 
https://t.co/PAqnjY8GYk","2022-12-15 12:00:00",8,5,0,3,0
"Positive",0.935,0.013436553,0.051770896,0.9347926,53029114,"humanite_fr",1603331678386151424,"#PLF2023, qui doit être adopté ce jeudi par 49.3, fait la part belle aux grandes entreprises, et promeut la rigueur pour les Français, la transition écologique et les collectivités locales. https://t.co/3C5Esahb67","2022-12-15 11:10:35",11,6,0,4,1
"Negative",0.833,0.8333182,0.112763375,0.05391851,53029114,"humanite_fr",1603329022494113792,"À l’issue du procès des dirigeants du groupuscule skinhead Blood and Honour Hexagone (BHH), pour la « participation à un groupe de combat », le tribunal correctionnel de Marseille a relaxé les prévenus. Certains ont été condamnés pour d’autres délits. https://t.co/42fAzfxq1v","2022-12-15 11:00:02",20,7,0,11,2
"Negative",0.527,0.5269102,0.3728033,0.10028654,53029114,"humanite_fr",1602272051519115264,"L'œil de Bobika  
#DessinDePresse #soignants #coupures #energie #hopital #ecowatt 
https://t.co/BZIPQsOagC https://t.co/6SKHwsFJzk","2022-12-12 13:00:00",20,4,1,15,0
"Negative",0.951,0.9511918,0.031378735,0.01742938,53029114,"humanite_fr",1603313922051739648,"#précarité 39 associations dénoncent « une année noire » pour les personnes mal logées ou sans-abri. L’impact de la crise énergétique sur les plus fragiles et les décisions de l’exécutif vont aggraver la situation. #SDF #logement https://t.co/O2PajyeDTa","2022-12-15 10:00:01",41,19,1,20,1
"Negative",0.906,0.9062981,0.064302586,0.0293993,53029114,"humanite_fr",1603298821261299712,"Dans le cadre de 2 informations judiciaires, le siège de #McKinsey et celui du parti présidentiel ont été perquisitionnés. Au cœur de l’enquête : les contrats passés avec l’État et des soupçons de financement illégal des campagnes de #Macron. 
https://t.co/RP622JZBGi https://t.co/PYRoVp7214","2022-12-15 09:00:01",72,31,1,38,2
"Neutral",0.68,0.016557317,0.67978287,0.3036599,53029114,"humanite_fr",1603283717832818690,"Le nouveau numéro de l’Humanité Magazine est à retrouver chez les marchands de journaux ou sur notre kiosque numérique : https://t.co/Ikt8qqGwJy
Vous pouvez également y accéder via notre application ( Iphone https://t.co/23hO2YlJSl et Android https://t.co/AzRCWAjIRD ) https://t.co/l8h7Pddg6N","2022-12-15 08:00:00",75,27,5,43,0
"Positive",0.808,0.06254409,0.12913859,0.8083173,53029114,"humanite_fr",1603142239428874240,"#francemaroc #Bleus de chauffe s’imposent finalement
#France s’est qualifiée pour sa 4ème finale de Coupe du monde en battant le #Maroc 2 à 0 et peut devenir dimanche face à #Argentine la 1ère équipe depuis le Brésil en 1962 à conserver son titre. https://t.co/4zqAqD9Xdh","2022-12-14 22:37:49",12,4,1,6,1
"Neutral",0.791,0.015130402,0.79066944,0.19420017,53029114,"humanite_fr",1603092172265373696,"L' Humanité du jeudi 15 décembre 2022 chez les marchands de journaux et dès ce soir 22h00 sur ordinateur. https://t.co/s4nZf9skga tablettes et smartphones avec nos applis IOS https://t.co/Nwm028Ng9C et Android https://t.co/AzRCWAjIRD #Chine #Qatar2022 https://t.co/gItg6d3bUF","2022-12-14 19:18:52",29,16,0,12,1
"Positive",0.592,0.19138142,0.21679953,0.59181905,53029114,"humanite_fr",1603087432307675136,"#francemaroc, le choc des ambitions
1/2 finale inédite entre les Lions de l’Atlas, porteurs des espoirs de l’Afrique et du monde arabe, et les Bleus, qui rêvent d’une 3ème étoile. 
#qatar2022 #EquipeDeFrance 
https://t.co/OrXvN4iD11 https://t.co/KxEbqSwvbL","2022-12-14 19:00:02",3,2,0,1,0
"Negative",0.825,0.8254994,0.073096626,0.101403944,53029114,"humanite_fr",1603076098505449473,"Coup de chaud à #SecuriteSociale pour dégeler les salaires
Mobilisation En grève, les salariés des organismes sociaux réclament la revalorisation de leur rémunération. #CGT dénonce un gel du point depuis 2010.
@CgtSanteSocial 
https://t.co/IObAClzaOe https://t.co/B3sl0nW37f","2022-12-14 18:15:00",24,7,0,17,0
"Positive",0.524,0.3182657,0.15736479,0.5243695,53029114,"humanite_fr",1603072330024062980,"De 1904 à 2022, telle une trajectoire unique, jamais cette aventure du #football de notre pays n’avait été racontée. En publiant ce hors-série, l’Humanité entend réparer cet oubli.
#qatar2022 #boycottqatar   #equipedefrance #francemaroc 
A commander ici: https://t.co/NUWkAqYosI https://t.co/UXzl3z4DJr","2022-12-14 18:00:01",7,4,0,3,0
"Negative",0.785,0.7850121,0.10398213,0.1110058,53029114,"humanite_fr",1603057234719739906,"#EtatsUnis. Mariage #gay : #Biden paraphe une loi fédérale
Afin de contrer une remise en cause par la Cour suprême, le Congrès, encore en majorité démocrate, a voulu « sanctuariser » un droit plébiscité par les Américains. 
https://t.co/3b5iorjTOG https://t.co/BhAuXJKSqz","2022-12-14 17:00:02",12,8,0,4,0
"Positive",0.616,0.13015717,0.25340962,0.6164332,53029114,"humanite_fr",1603042128103366664,"#Covoiturage : la chasse à la prime est ouverte !
Le plan covoiturage « renforcé », présenté par le gouvernement le 12 décembre, instaure deux primes de 100 euros chacune pour inciter les Français, au quotidien, à ne plus prendre le volant seuls. 
https://t.co/cgw3NekJoB https://t.co/5Ks7kn7NCh","2022-12-14 16:00:01",4,3,0,1,0
"Negative",0.466,0.4655711,0.19246052,0.34196842,53029114,"humanite_fr",1603027038847135745,"Les @senateursCRCE  veulent réguler #parisSportifs
Dépendance En pleine #CoupeDuMonde, les élus #PCF ont présenté, mardi, une proposition de loi visant à encadrer plus strictement les paris, à l’origine d’addiction comme l’alcool et le tabac. 
https://t.co/FwLrZt7vst","2022-12-14 15:00:03",18,7,0,11,0
"Negative",0.924,0.9244082,0.04720707,0.028384674,53029114,"humanite_fr",1603011925935366144,"#francemaroc De #Zemmour au #RN, l’affiche de la 1/2 finale suscite les pires outrances de nationalistes en plein délire xénophobe de « haine anti-France », voire de « colonisation inversée ».
 #Qatar2022 #football #racisme  #extemedroite #xenophobie 
https://t.co/NC9ll8JWCM https://t.co/MeDKQmuexv","2022-12-14 14:00:00",22,9,0,13,0
"Negative",0.483,0.48263693,0.28276882,0.23459426,53029114,"humanite_fr",1602996836444282882,"L'œil de Pascal Gros   
#DessinDePresse #assembleenationale #retraite  #ElisabethBorne 
https://t.co/VEbFqu64ZJ https://t.co/51PucXJC0N","2022-12-14 13:00:02",76,20,0,56,0
"Positive",0.527,0.19916981,0.27335712,0.52747303,53029114,"humanite_fr",1602994379668557824,"Ce qu’il faut savoir sur #Avatar avant de regarder le 2 : si vous pensez que le plus grand succès de l'histoire du cinéma se résume à « Pocahontas dans l'espace », il est temps de remettre les pendules à l'heure !"" #avatar2 https://t.co/IOxmHAngzW https://t.co/cVHM13Ne2M","2022-12-14 12:50:16",45,19,2,24,0
"Negative",0.821,0.82131135,0.093403004,0.08528564,53029114,"humanite_fr",1602966637333942275,"Crispations autour de la loi pour plus d’éolien
#Energie Alors que la France reste encore trop dépendante des énergies fossiles importées, un sujet rendu brûlant par les craintes de coupures, la question des éoliennes reste très clivante. 
#climat #eolien https://t.co/4uecqckSXv https://t.co/HX8iTeeXOY","2022-12-14 11:00:02",13,6,1,6,0
