"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Negative",0.913,0.9132561,0.06289376,0.023850193,26110930,"LCI",1596968860561068033,"Essonne : suspecté de meurtre avec actes de barbarie, un couple mis en examen et écroué https://t.co/fQIhQU4b3X https://t.co/RrZmzDhqpN","2022-11-27 21:47:01",18,2,4,11,1
"Negative",0.919,0.91929346,0.06316672,0.017539786,26110930,"LCI",1596964976169979904,"Dordogne : un homme grièvement blessé dans un accident de chasse https://t.co/hL9I9yWm9y https://t.co/btInCKIArU","2022-11-27 21:31:35",34,8,11,11,4
"Negative",0.465,0.46519303,0.44337022,0.091436796,26110930,"LCI",1596960982106263554,"Coupe du monde : en Chine, les spectateurs sans masque persona non grata à la télévision https://t.co/de3bwIUHES https://t.co/FHkQZvCOqM","2022-11-27 21:15:42",13,1,0,12,0
"Neutral",0.682,0.13410337,0.6820365,0.1838601,26110930,"LCI",1596957299821580288,"Coupe du monde 2022 : à quelles conditions les Bleus termineront-ils premiers du groupe D ? https://t.co/FThEibwx1D https://t.co/NHgEzg2PK8","2022-11-27 21:01:04",9,0,2,6,1
"Positive",0.561,0.05387557,0.3855673,0.56055707,26110930,"LCI",1596953610704781313,"""Ce n'est pas que sur Paris"" : Emmanuel Macron veut développer un RER ""dans dix métropoles françaises"" https://t.co/Jhrjhju3mu https://t.co/w39tDzNNZr","2022-11-27 20:46:25",62,4,30,22,6
"Negative",0.929,0.92899394,0.053937595,0.017068498,26110930,"LCI",1596949926981734400,"Bruno Le Maire reconnaît ""des abus sur les recours à des cabinets de conseil"" https://t.co/g7fEE4i6tq https://t.co/7aPD3eM0iO","2022-11-27 20:31:47",39,6,18,13,2
"Neutral",0.521,0.26350462,0.5208395,0.21565586,26110930,"LCI",1596949186880020482,"https://t.co/sDb2ZAuDjM","2022-11-27 20:28:50",16,3,4,7,2
"Negative",0.909,0.9093034,0.05665069,0.034045905,26110930,"LCI",1596948791898284035,"🔴 Guerre en #Ukraine

🗣️ ""Poutine est un terroriste. Pour nous, les Ukrainiens, nous voulons que ça soit la dernière fois"" Alona Shkrum qui s'éclaire à la bougie

📲 #Le20HdeDariusRochebin @DariusRochebin https://t.co/gKNLULThos","2022-11-27 20:27:16",45,7,14,22,2
"Positive",0.472,0.18494387,0.34323046,0.4718256,26110930,"LCI",1596947320830103560,"🔴 Guerre en #Ukraine : qu'attendez-vous de la France ?

🗣️ ""On ne demande pas seulement de l'aide humanitaire (même si c'est très important) mais on attend des investissements concrets. On demande des partenaires."" Alona Shkrum

📲 #Le20HdeDariusRochebin @DariusRochebin https://t.co/KCgSXEJ95S","2022-11-27 20:21:25",80,11,35,30,4
"Negative",0.927,0.9269759,0.052320134,0.020703983,26110930,"LCI",1596946694918258693,"🔴 Guerre en #Ukraine

🗣️ ""Il y a 10 hôpitaux qui ont été touchés. Ce sera plus si la Russie continue ces actes terroristes."" Alona Shkrum

📲 #Le20HdeDariusRochebin @DariusRochebin https://t.co/c0jRtSKJ56","2022-11-27 20:18:56",33,5,8,20,0
"Positive",0.561,0.122824386,0.3166729,0.5605027,26110930,"LCI",1596946023871811584,"A Blois, un ours polaire féérique lance la grande parade de Noël https://t.co/qfYRnmT6xQ https://t.co/KplubkBRE3","2022-11-27 20:16:16",9,2,2,4,1
"Negative",0.943,0.9427477,0.04403459,0.013217605,26110930,"LCI",1596945567024041986,"🔴 Ukrainiens privés d'électricité

🗣️ ""Ces coupures n'affectent pas l'armée, les militaires mais les civils. Cela impacte les opérations médicales (chirurgie). C'est un acte terroriste."" Alona Shkrum

📲 #Le20HdeDariusRochebin @DariusRochebin https://t.co/L8D0503WAw","2022-11-27 20:14:27",79,11,35,32,1
"Negative",0.69,0.6901995,0.18593703,0.12386351,26110930,"LCI",1596942350240034817,"""Xi Jinping, démission !"" : le ""zéro Covid"" pousse les Chinois dans la rue https://t.co/urvgUcG99j https://t.co/o31lfszrDa","2022-11-27 20:01:40",58,8,6,44,0
"Positive",0.791,0.02281912,0.1858678,0.7913131,26110930,"LCI",1596938859925102592,"Coupe du monde 2022 : les Bleus savourent leur qualification pour les huitièmes de finale https://t.co/LTPLADwIX6 https://t.co/sa2s6pxDZt","2022-11-27 19:47:48",29,4,8,14,3
"Neutral",0.597,0.1949393,0.5969097,0.20815107,26110930,"LCI",1596934752065359872,"Coupe du monde : quand Kylian Mbappé rencontre Ivanka Trump et sa famille après France-Danemark https://t.co/twxloAEZoJ https://t.co/8FNV13J9Fw","2022-11-27 19:31:29",31,3,8,17,3
"Neutral",0.543,0.086917534,0.5434013,0.36968115,26110930,"LCI",1596931143378485248,"Mondial 2022 : le but historique du Canadien Alphonso Davies contre la Croatie https://t.co/W2XQ40Y075 https://t.co/ISXn4N5iHr","2022-11-27 19:17:08",16,3,0,13,0
"Positive",0.679,0.023778668,0.2975372,0.6786842,26110930,"LCI",1596927105387954177,"Coupe du monde 2022 : découvrez les images de la semaine victorieuse des Bleus https://t.co/riPtQ2mdlH https://t.co/mD78FcQyNK","2022-11-27 19:01:06",17,3,5,9,0
"Positive",0.745,0.084350504,0.17042395,0.7452256,26110930,"LCI",1596923337653030916,"Anisha, gagnante de Star Academy : ""Sur Hallelujah, j’ai été absolument transcendée"" https://t.co/ERLqeZsn83 https://t.co/bh95WXTZ4R","2022-11-27 18:46:07",34,3,6,25,0
"Negative",0.783,0.78265834,0.13022977,0.087111935,26110930,"LCI",1596920940365238273,"Coupe du monde : heurts à Bruxelles après la victoire du Maroc contre la Belgique https://t.co/YOX1mydvlh https://t.co/lB6bRpQtAz","2022-11-27 18:36:36",158,33,48,66,11
"Negative",0.918,0.9184582,0.06309717,0.018444592,26110930,"LCI",1596908491041607681,"Grève chez #GRDF : 1500 foyers toujours privés de chauffage et d’eau chaude en Ile-de-France https://t.co/puC3Eq1ePd https://t.co/X4vSpCtKmQ","2022-11-27 17:47:08",46,8,17,21,0
"Neutral",0.774,0.046798006,0.7737509,0.17945111,26110930,"LCI",1596906822426046464,"📌 DEMAIN 

▶ Franz-Olivier Giesbert, écrivain et éditorialiste, sera l'invité d'Adrien Gindre (@agindre), à partir de 8h30.

📺 Dans #LesMatinsLCI https://t.co/I9nyeT5QxS","2022-11-27 17:40:30",17,5,5,7,0
"Negative",0.872,0.8715511,0.10016404,0.028284764,26110930,"LCI",1596904601093279744,"En Iran, un directeur de banque limogé pour avoir servi une cliente sans voile https://t.co/puGPeOAKra https://t.co/OuWVXm1cFi","2022-11-27 17:31:40",49,20,6,21,2
"Positive",0.85,0.065740235,0.083866686,0.85039306,26110930,"LCI",1596896934114967552,"""On n'est pas mal !"" : après la victoire sur le Danemark les Français commencent à y croire https://t.co/x80MONxiID https://t.co/f2NXFUrctg","2022-11-27 17:01:12",11,2,3,6,0
"Negative",0.881,0.8813505,0.093935154,0.024714231,26110930,"LCI",1596893139939491840,"Meurtre de #Lola : un adolescent de 16 ans arrêté après une plainte du frère de la victime https://t.co/9qGrw4i7nH https://t.co/G9WknSj6Rk","2022-11-27 16:46:08",26,5,2,19,0
"Negative",0.723,0.72340137,0.19245623,0.08414242,26110930,"LCI",1596889578203279361,"Espagne-Allemagne : la Mannschaft au bord du gouffre https://t.co/lzCmvwaUn9 https://t.co/fEFoYvNFKK","2022-11-27 16:31:58",16,2,2,12,0
"Negative",0.843,0.8430568,0.10990238,0.047040813,26110930,"LCI",1596885528959410177,"Affaire #Quatennens : Clémentine Autain ""troublée"" par les nouvelles accusations de l'épouse du député https://t.co/SrCsnDoV5a cc @Clem_Autain @Acarrouer https://t.co/1N8ZNbfO4d","2022-11-27 16:15:53",29,2,19,7,1
"Negative",0.836,0.83609873,0.11952484,0.044376373,26110930,"LCI",1596881788487573505,"L'agent du fisc tué pendant un contrôle recevra la Légion d'honneur à titre posthume https://t.co/qenyzsGN8Z https://t.co/68Kh6RX9jI","2022-11-27 16:01:01",19,1,9,8,1
"Positive",0.49,0.13668135,0.37355068,0.48976794,26110930,"LCI",1596874184579162112,"Kim Jong Un veut faire de la Corée du Nord la plus puissante force nucléaire du monde https://t.co/gkxTJfKpvg https://t.co/iI9tB8kt20","2022-11-27 15:30:48",27,0,14,13,0
"Negative",0.915,0.9148919,0.06613114,0.018976986,26110930,"LCI",1596866741920899072,"Yvelines : un adolescent de 14 ans tué lors d’une rixe en marge d’un combat de MMA https://t.co/HUd0ecsm9L https://t.co/rr3wqJZpDy","2022-11-27 15:01:14",16,3,5,8,0
"Neutral",0.502,0.034926362,0.5020247,0.4630489,26110930,"LCI",1596851720327671808,"Demander l’aide pour le chauffage au bois sera possible juste avant Noël https://t.co/67R1xqjP7p https://t.co/32PrRhVvyM","2022-11-27 14:01:32",12,0,4,8,0
"Negative",0.625,0.62520975,0.25030813,0.124482125,26110930,"LCI",1596847895621169153,"Belgique-Maroc : les Lions de l’Atlas à l'assaut des Diables rouges https://t.co/8DBzk1RgJR https://t.co/1y20uJNIvL","2022-11-27 13:46:20",7,1,0,5,1
"Negative",0.786,0.7856747,0.14096934,0.073355995,26110930,"LCI",1596844382493331456,"Lille : trois nouveaux immeubles évacués, deux semaines après un effondrement meurtrier https://t.co/sfP5D7neHR https://t.co/sCnRMzYfut","2022-11-27 13:32:23",13,4,0,9,0
"Negative",0.9,0.9003757,0.05599638,0.0436279,26110930,"LCI",1596832290214408192,"🔴 Réintégration des soignants non-vaccinés

🗣  ""On a eu une obstruction gouvernementale. Je n'ai jamais vu ça ! Cette obstruction n'est pas venue des députés ""Renaissance"" mais du Gouvernement. C'est inadmissible."" @Clem_Autain  

 📲 #LeGrandJury sur #La26 https://t.co/dgFVnV0Dll","2022-11-27 12:44:20",81,12,35,31,3
"Neutral",0.504,0.097738504,0.5042923,0.39796922,26110930,"LCI",1596831601756803072,"🔴 Niche parlementaire de #LFI

🗣  ""Notre temps est contraint de 9h à minuit. On essaye d'arbitrer pour faire passer des choses comme l'inscription de l'#IVG dans la Constitution."" @Clem_Autain et s'explique sur les arbitrages définis (SMIC)

 📲 #LeGrandJury sur #La26 https://t.co/ItE4eFL2ZV","2022-11-27 12:41:36",17,2,6,9,0
"Negative",0.939,0.9393687,0.032525804,0.028105468,26110930,"LCI",1596830410721603586,"🔴 Sur la réforme des #retraites

🗣  ""Je pense que c'est un sujet qui peut fédérer. Le Gouvernement n'a pas de majorité dans le pays pour imposer cette grande régression. C'est une loi délirante car il n'y a aucune urgence. C'est injuste."" @Clem_Autain  

 📲 #LeGrandJury https://t.co/ij3radPHDH","2022-11-27 12:36:52",19,4,4,11,0
"Negative",0.886,0.8863742,0.07598614,0.037639696,26110930,"LCI",1596828052134285312,"🔴 Violences faites aux femmes

🗣  ""Comment faire en sorte que toute la société change ? Aujourd'hui, j'entends beaucoup de bla-bla et absolument pas d'acte."" @Clem_Autain et donne l'exemple de ""la gifle"".

 📲 #LeGrandJury sur #La26 https://t.co/xvZxMPG3tC","2022-11-27 12:27:29",23,2,16,4,1
"Negative",0.747,0.7466222,0.13473415,0.11864359,26110930,"LCI",1596826813841707009,"🔴 Affaires @T_Bouhafs, #Quatennens, #LFI fragilisée ?

🗣  ""J'essaye de me battre pour qu'on soit le moins fragilisé possible. Nous avons pris des décisions franches."" @Clem_Autain 

 📲 #LeGrandJury sur #La26 https://t.co/Dkr5Ich98A","2022-11-27 12:22:34",28,4,15,8,1
"Negative",0.62,0.62024975,0.19634563,0.18340464,26110930,"LCI",1596825425866620930,"🔴 Affaire A. #Quatennens : doit-il démissionner ?

🗣  ""S'il démissionne, admettons qu'il soit réélu. A-t-on résolu le problème ? Je ne le crois pas. Il faut faire avancer la lutte contre les violences faites aux femmes."" @Clem_Autain 

 📲 #LeGrandJury sur #La26 https://t.co/3qIjQxidpc","2022-11-27 12:17:03",164,15,80,38,31
"Positive",0.384,0.34134644,0.27477026,0.38388327,26110930,"LCI",1596824745407823874,"🔴 Affaire A. #Quatennens : doit-il démissionner ?

🗣  ""Je suis pour une justice réparatrice et une gradation des peines décidées pour nos membres. Ce sont nos frères, maris, camarades : nous sommes là pour les faire changer !"" @Clem_Autain 

 📲 #LeGrandJury sur #La26 https://t.co/XTWSLUfdek","2022-11-27 12:14:21",269,42,90,117,20
"Negative",0.925,0.92528135,0.042486634,0.032232087,26110930,"LCI",1596823566259204097,"🔴 Affaire A. #Quatennens : doit-il démissionner ?

🗣  ""@auroreberge nous fait des leçons alors qu'elle ne demande pas la démission de @damienabad. Franchement, c'est insupportable, il y a une instrumentalisation politique."" @Clem_Autain 

 📲 #LeGrandJury sur #La26 https://t.co/WEruIGBMvW","2022-11-27 12:09:40",725,123,227,348,27
"Negative",0.869,0.86890715,0.08332814,0.047764674,26110930,"LCI",1596822773086576641,"🔴 Affaire A. #Quatennens : doit-il démissionner ?

🗣  ""Non, nous n'avons pas pris cette décision à ce jour. Nous sommes percutés par les mots de Céline Quatennens. Cela m'a troublée. C'est compliqué d'avoir une réponse politique affinée."" @Clem_Autain

 📲 #LeGrandJury https://t.co/9Huw4VCz1d","2022-11-27 12:06:31",80,6,51,19,4
"Negative",0.926,0.9255177,0.057375893,0.017106453,26110930,"LCI",1596821586489004032,"#Inflation à la cantine : comment les élèves d'Agde sont privés de dessert https://t.co/ajMkuqDxoO https://t.co/mPufanEFss","2022-11-27 12:01:48",31,13,10,7,1
"Neutral",0.664,0.1470686,0.6642738,0.18865757,26110930,"LCI",1596806365904879616,"Pouvoir d'achat : quelles sont les villes les moins chères de France ? https://t.co/U6LD5SeWqE https://t.co/t9HimbfEm1","2022-11-27 11:01:19",21,1,3,17,0
"Negative",0.872,0.8720006,0.10525928,0.022740135,26110930,"LCI",1596791332496117761,"Éducation : ""tassement"" des résultats en français en CE1 et en 6e, ""très probablement"" à cause de l'épidémie de #Covid19 https://t.co/QPMGH2Z3O4 https://t.co/J9nNCgJ2L5","2022-11-27 10:01:35",44,5,23,14,2
"Neutral",0.716,0.025114823,0.71564406,0.25924107,26110930,"LCI",1596776366283923456,"Éco-Score pour les vêtements : comment fonctionne ce nouveau label ? https://t.co/7VYv1ZjKuO https://t.co/POTmZTBepR","2022-11-27 09:02:07",14,3,2,9,0
"Positive",0.598,0.07251515,0.32947123,0.5980136,26110930,"LCI",1596745934351859713,"Miss France 2023 – ""Je rêve d’être chirurgienne"" : l’interview décalée de Flavy Barla, Miss Côte d’Azur https://t.co/GIB6wGwOCr #MissFrance https://t.co/2fgrzJEdCB","2022-11-27 07:01:11",25,2,4,19,0
"Positive",0.578,0.1415155,0.28041434,0.5780702,26110930,"LCI",1596632763632852997,"Mondial 2022 : Emmanuel Macron appelle le #Qatar à ""continuer"" les ""changements concrets"" https://t.co/Loy8consHo https://t.co/J1BTVkho3S","2022-11-26 23:31:29",57,1,33,17,6
"Neutral",0.614,0.051424496,0.6136403,0.3349352,26110930,"LCI",1596632758222192641,"Week-end à Rennes, capitale de la Bretagne et du pop-rock https://t.co/eJBSVDHMgd https://t.co/Y3rQKF0Mp1","2022-11-26 23:31:28",15,1,1,12,1
"Neutral",0.618,0.10206438,0.6181978,0.2797378,26110930,"LCI",1596625184349425665,"Congrès du #PS : Olivier Faure affrontera deux candidats https://t.co/sIENWFCryr https://t.co/M3rXd1W1oF","2022-11-26 23:01:22",25,2,8,14,1
"Positive",0.812,0.08528095,0.10288722,0.81183183,26110930,"LCI",1596621354257850370,"""C’est un héros !"" : frissons dans le fief de Kylian Mbappé après la victoire des Bleus contre le Danemark https://t.co/ZKJOyaxY2r https://t.co/RJOV6QypV3","2022-11-26 22:46:09",104,11,29,62,2
"Negative",0.938,0.9383142,0.04135429,0.02033152,26110930,"LCI",1596617770061422594,"Préavis et menaces de grève pour les vacances de Noël : la grogne dans le secteur aérien va-t-elle gâcher les fêtes ? https://t.co/17WnDvMX5Y https://t.co/agI5zVvcNX","2022-11-26 22:31:54",19,5,3,10,1
"Neutral",0.727,0.068379045,0.72708124,0.20453967,26110930,"LCI",1596613812907646976,"EN DIRECT – ""Star Academy"", la finale : qui de Léa, Enola, Louis ou Anisha remportera l’édition 2022 ? https://t.co/CX6V3yebor https://t.co/f6RDoLMgr6","2022-11-26 22:16:11",27,2,4,21,0
"Negative",0.866,0.8664904,0.110143356,0.023366252,26110930,"LCI",1596609930861023233,"""C’est trompeur !"" : toutes les promotions affichées du Black Friday sont-elles réelles ? https://t.co/VXKvGwBsJZ https://t.co/XwRwVwnJ8T","2022-11-26 22:00:45",8,1,3,4,0
"Negative",0.958,0.9580464,0.028961308,0.012992291,26110930,"LCI",1596602579747848192,"""Je les déteste"" : à #Kherson, le désespoir des habitants après un nouveau bombardement russe https://t.co/zjstXwFlc8 https://t.co/uLLTjekQdL","2022-11-26 21:31:33",136,22,45,67,2
"Negative",0.55,0.5501679,0.17548066,0.27435145,26110930,"LCI",1596595081456193536,"Une décision ""qui restera dans les mémoires"" : pourquoi le sommet pour les espèces menacées est historique https://t.co/YRxLOmUa8c https://t.co/eazSRXFTDq","2022-11-26 21:01:45",18,2,0,16,0
"Positive",0.933,0.013459146,0.053931933,0.9326089,26110930,"LCI",1596591333837340673,"""Ce groupe est solide et a envie de faire de belles choses"" : les Bleus satisfaits après la fin du match contre Danemark https://t.co/xmw5QqE5it https://t.co/AeMtZBJqs5","2022-11-26 20:46:51",40,3,8,29,0
"Negative",0.922,0.9220261,0.053820554,0.024153361,26110930,"LCI",1596587567247659008,"Contrôle technique : les motards en colère manifestent dans toute la France https://t.co/Z5MBX1XZUD https://t.co/k0YfEuqVCy","2022-11-26 20:31:53",30,4,7,17,2
"Negative",0.874,0.8739236,0.10834085,0.017735573,26110930,"LCI",1596583424604635136,"États-Unis : les équipements télécoms chinois officiellement interdits, Huawei compris https://t.co/EgIc5ZKpzT https://t.co/9QOA0kHQPY","2022-11-26 20:15:26",19,3,5,11,0
"Negative",0.475,0.47526124,0.4384049,0.08633393,26110930,"LCI",1596580021019168770,"🔴 DOCUMENT #EXCLUSIF - Guerre en #Ukraine : les reporters de TF1/LCI dans une base de Tchétchénie qui forme les militaires russes https://t.co/L9kiIGn1Mc Cc @JeromeGarro https://t.co/aLsel5BQkY","2022-11-26 20:01:54",71,8,26,36,1
"Positive",0.499,0.1580614,0.34332186,0.49861673,26110930,"LCI",1596575999323697153,"Marché de Noël de Colmar : face à la crise énergétique, plus de chauffage et des horaires adaptés https://t.co/0O36xDZPha https://t.co/WqtsFEZIxt","2022-11-26 19:45:55",29,4,6,17,2
"Positive",0.6,0.109508336,0.290326,0.60016567,26110930,"LCI",1596572460220047361,"#FRADAN - France-Danemark : revivez le but de la qualification de Kylian #Mbappé https://t.co/CU9A4S7K5i #FIFAWorldCup https://t.co/K4uCCdrZJB","2022-11-26 19:31:52",14,2,1,10,1
"Neutral",0.637,0.06513,0.6366128,0.29825723,26110930,"LCI",1596570157211881472,"🔴 𝐐𝐔𝐀𝐋𝐈𝐅𝐈𝐄́𝐒 !

⚽️(Re)voir : le résumé du match France-Danemark avec les 2 buts de Kylian #Mbappé  👏⤵️ https://t.co/DN15CG3CTL  #FRADAN #FIFAWorldCup https://t.co/z6CgnBX7SA","2022-11-26 19:22:42",21,3,3,15,0
"Positive",0.68,0.11639866,0.20348915,0.6801121,26110930,"LCI",1596568530895396865,"""Un miracle de Thanksgiving"" : un croisiériste retrouvé près de 24 heures après être passé par-dessus bord https://t.co/gl3KdMpQJv https://t.co/lrP9Ap8uhH","2022-11-26 19:16:15",36,6,2,28,0
"Negative",0.698,0.6975746,0.19507852,0.10734681,26110930,"LCI",1596564754390257671,"""Je pense qu’il y a eu un ras-le-bol des vaccins"" : les vaccinations contre la grippe et le Covid patinent https://t.co/t0eNvidD32 https://t.co/d1dGuqrn9P","2022-11-26 19:01:14",603,95,241,233,34
"Neutral",0.601,0.053775847,0.60051537,0.34570876,26110930,"LCI",1596564176708567040,"🔴👏  EN DIRECT - France-Danemark : les #Bleus qualifiés ! https://t.co/5EmCMfdVdl #FRADAN #FIFAWorldCup https://t.co/lsalb0tMSr","2022-11-26 18:58:57",24,8,0,15,1
"Negative",0.682,0.68193144,0.2717229,0.046345636,26110930,"LCI",1596561739641913344,"#FRADAN - France-Danemark : la faute de #Christiansen sur #Mbappé valait-elle un carton rouge ? https://t.co/hgIVUR6E0x #FIFAWorldCup https://t.co/D6TMEJ2vCU","2022-11-26 18:49:16",24,0,8,15,1
"Positive",0.63,0.06656785,0.3030912,0.6303409,26110930,"LCI",1596561503427100673,"🔴 EN DIRECT - France-Danemark (2-1) : #Mbappé redonne l'avantage aux #Bleus, virtuellement qualifiés https://t.co/JRQS3wE7LX #FRADAN #FIFAWorldCup https://t.co/FXm8eJQiUw","2022-11-26 18:48:19",19,1,0,17,1
"Positive",0.469,0.14917344,0.38171527,0.46911135,26110930,"LCI",1596559463057870848,"#FRADAN - France-Danemark : revivez l'ouverture du score tricolore signée Kylian #Mbappé https://t.co/jXgtCC0egL #FIFAWorldCup https://t.co/WTTIs3Qp53","2022-11-26 18:40:13",6,0,0,6,0
"Neutral",0.765,0.08746419,0.76523095,0.14730488,26110930,"LCI",1596557802457251849,"🔴 EN DIRECT - France-Danemark (1-1) : Christensen répond à #Mbappé https://t.co/bJ7TmvPIBL https://t.co/jWqxPS37Mj","2022-11-26 18:33:37",7,1,0,6,0
"Neutral",0.503,0.22334701,0.5028163,0.27383664,26110930,"LCI",1596557320762363904,"Les stocks de missiles russes au plus bas, selon la défense britannique https://t.co/Y4ej43t5O7 https://t.co/OjfyabuQys","2022-11-26 18:31:42",430,34,257,130,9
"Negative",0.906,0.9061061,0.06851959,0.02537434,26110930,"LCI",1596549510959837184,"Grippe : ""Il est encore trop tôt pour savoir l’ampleur et la sévérité que va avoir l’épidémie"" https://t.co/NnxJl28nWr https://t.co/X79ZqkfkXR","2022-11-26 18:00:40",29,2,15,12,0
"Neutral",0.695,0.1278429,0.69479877,0.17735831,26110930,"LCI",1596542052040208386,"Dans les coulisses de la Coupe du monde : la vie des Bleus vue de l'intérieur https://t.co/sAuqXCRrRZ https://t.co/cNjpggAGTH","2022-11-26 17:31:02",27,5,6,16,0
